S.No,Date,Time,Months,Sample,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Traffic
105,,,17,5,2.375,2.505,5.2,4.6,94.8,2.688,2.560,#REF!,#REF!,#REF!,5.5,1.9,2.7,459348
106,,,17,6,2.392,2.505,4.5,4.6,95.5,2.688,2.560,#REF!,#REF!,#REF!,4.7,1.9,2.7,459348
107,,,17,7,2.345,2.505,6.4,4.8,93.6,2.697,2.560,#REF!,#REF!,#REF!,6.8,2.1,2.7,459348
108,,,17,8,2.371,2.505,5.3,4.8,94.7,2.697,2.560,#REF!,#REF!,#REF!,5.6,2.1,2.7,459348
109,11/2/2021,Month 18,18,1,2.31,2.505,7.8,5,92.2,2.706,2.560,#REF!,#REF!,#REF!,8.4,2.2,2.8,487567
110,,,18,2,2.301,2.505,8.1,4.8,91.9,2.697,2.560,#REF!,#REF!,#REF!,8.9,2.1,2.7,487567
111,,,18,3,2.392,2.505,4.5,4.9,95.5,2.702,2.560,#REF!,#REF!,#REF!,4.7,2.1,2.8,487567
112,,,18,4,2.388,2.505,4.7,4.6,95.3,2.688,2.560,#REF!,#REF!,#REF!,4.9,1.9,2.7,487567
113,,,18,5,2.317,2.505,7.5,4.9,92.5,2.702,2.560,#REF!,#REF!,#REF!,8.1,2.1,2.8,487567
114,,,18,6,2.338,2.505,6.7,4.8,93.3,2.697,2.560,#REF!,#REF!,#REF!,7.1,2.1,2.7,487567
115,,,18,7,2.377,2.505,5.1,4.9,94.9,2.702,2.560,#REF!,#REF!,#REF!,5.4,2.1,2.8,487567
116,,,18,8,2.338,2.505,6.7,4.9,93.3,2.702,2.560,#REF!,#REF!,#REF!,7.1,2.1,2.8,487567
117,,,18,9,2.4,2.505,4.2,4.7,95.8,2.693,2.560,#REF!,#REF!,#REF!,4.4,2.0,2.7,487567
118,,,18,10,2.35,2.505,6.2,4.9,93.8,2.702,2.560,#REF!,#REF!,#REF!,6.6,2.1,2.8,487567
119,,,18,11,2.348,2.505,6.3,5,93.7,2.706,2.560,#REF!,#REF!,#REF!,6.7,2.2,2.8,487567
120,,,18,12,2.358,2.505,5.9,4.8,94.1,2.697,2.560,#REF!,#REF!,#REF!,6.2,2.1,2.7,487567
121,18-03-2021,Month 19,19,1,2.389,2.505,4.6,4.2,95.4,2.671,2.560,#REF!,#REF!,#REF!,4.9,1.7,2.5,515924
122,,,19,2,2.342,2.505,6.5,4.4,93.5,2.680,2.560,#REF!,#REF!,#REF!,7.0,1.8,2.6,515924
123,,,19,3,2.348,2.505,6.3,4.6,93.7,2.688,2.560,#REF!,#REF!,#REF!,6.7,1.9,2.7,515924
124,,,19,4,2.353,2.505,6.1,4.6,93.9,2.686,2.560,#REF!,#REF!,#REF!,6.5,1.9,2.6,515924
125,,,19,5,2.358,2.505,5.9,4.6,94.1,2.686,2.560,#REF!,#REF!,#REF!,6.2,1.9,2.6,515924
126,,,19,6,2.375,2.505,5.2,4.6,94.8,2.687,2.560,#REF!,#REF!,#REF!,5.5,1.9,2.7,515924
127,,,19,7,2.351,2.505,6.1,4.6,93.9,2.688,2.560,#REF!,#REF!,#REF!,6.5,1.9,2.7,515924
128,,,19,8,2.337,2.505,6.7,4.6,93.3,2.690,2.560,#REF!,#REF!,#REF!,7.2,2.0,2.7,515924
129,,,19,9,2.347,2.505,6.3,4.6,93.7,2.690,2.560,#REF!,#REF!,#REF!,6.7,2.0,2.7,515924
130,,,19,10,2.344,2.505,6.4,4.5,93.6,2.685,2.560,#REF!,#REF!,#REF!,6.9,1.9,2.6,515924
131,,,19,11,2.359,2.505,5.8,4.9,94.2,2.701,2.560,#REF!,#REF!,#REF!,6.2,2.1,2.8,515924
132,,,19,12,2.351,2.505,6.1,4.6,93.9,2.688,2.560,#REF!,#REF!,#REF!,6.5,1.9,2.7,515924
133,7/10/2021,Month 23,23,1,2.297,2.505,8.3,4.8,94.9,2.696,2.560,#REF!,#REF!,#REF!,8.7,2.1,2.7,630739
134,,,23,2,2.343,2.505,6.5,4.9,95.9,2.700,2.560,#REF!,#REF!,#REF!,6.7,2.1,2.8,630739
135,,,23,3,2.355,2.505,6.0,5.0,96.9,2.704,2.560,#REF!,#REF!,#REF!,6.2,2.2,2.8,630739
136,,,23,4,2.429,2.505,3.0,4.9,97.9,2.700,2.560,#REF!,#REF!,#REF!,3.1,2.1,2.8,630739
137,,,23,5,2.388,2.505,4.7,5.0,98.9,2.706,2.560,#REF!,#REF!,#REF!,4.7,2.2,2.8,630739
138,,,23,6,2.385,2.505,4.8,4.8,99.9,2.699,2.560,#REF!,#REF!,#REF!,4.8,2.1,2.8,630739
139,,,23,7,2.370,2.505,5.4,5.0,100.9,2.706,2.560,#REF!,#REF!,#REF!,5.3,2.2,2.8,630739
140,,,23,8,2.323,2.505,7.3,4.8,101.9,2.698,2.560,#REF!,#REF!,#REF!,7.1,2.1,2.7,630739
141,8/10/2021,Month 24,24,1,2.314,2.505,7.6,4.6,102.9,2.688,2.560,#REF!,#REF!,#REF!,7.4,1.9,2.7,659792
142,,,24,2,2.337,2.505,6.7,4.7,103.9,2.691,2.560,#REF!,#REF!,#REF!,6.5,2.0,2.7,659792
143,,,24,3,2.368,2.505,5.5,4.7,104.9,2.693,2.560,#REF!,#REF!,#REF!,5.2,2.0,2.7,659792
144,,,24,4,2.329,2.505,7.0,4.7,105.9,2.693,2.560,#REF!,#REF!,#REF!,6.6,2.0,2.7,659792
145,,,24,5,2.382,2.505,4.9,5.1,106.9,2.709,2.560,#REF!,#REF!,#REF!,4.6,2.2,2.8,659792
146,,,24,6,2.330,2.505,7.0,4.5,107.9,2.682,2.560,#REF!,#REF!,#REF!,6.5,1.9,2.6,659792
147,9/15/2021,Month 25,25,1,2.330,2.505,7.0,4.7,108.9,2.692,2.560,#REF!,#REF!,#REF!,6.4,2.0,2.7,688987
148,,,25,2,2.394,2.505,4.4,4.4,109.9,2.679,2.560,#REF!,#REF!,#REF!,4.0,1.8,2.6,688987
149,,,25,3,2.328,2.505,7.1,4.8,110.9,2.697,2.560,#REF!,#REF!,#REF!,6.4,2.1,2.7,688987
150,,,25,4,2.355,2.505,6.0,4.7,111.9,2.692,2.560,#REF!,#REF!,#REF!,5.4,2.0,2.7,688987
151,,,25,5,2.356,2.505,6.0,4.7,112.9,2.693,2.560,#REF!,#REF!,#REF!,5.3,2.0,2.7,688987
152,,,25,6,2.388,2.505,4.7,4.7,113.9,2.693,2.560,#REF!,#REF!,#REF!,4.1,2.0,2.7,688987
153,10/22/2021,Month 26,26,1,2.337,2.505,6.7,4.5,114.9,2.683,2.560,#REF!,#REF!,#REF!,5.8,1.9,2.6,718325
154,,,26,2,2.347,2.505,6.3,4.5,115.9,2.683,2.560,#REF!,#REF!,#REF!,5.4,1.9,2.6,718325
155,,,26,3,2.259,2.505,9.8,4.4,116.9,2.681,2.560,#REF!,#REF!,#REF!,8.4,1.8,2.6,718325
156,,,26,4,2.282,2.505,8.9,4.4,117.9,2.681,2.560,#REF!,#REF!,#REF!,7.5,1.8,2.6,718325
157,,,26,5,2.347,2.505,6.3,4.5,118.9,2.684,2.560,#REF!,#REF!,#REF!,5.3,1.9,2.6,718325
158,,,26,6,2.357,2.505,5.9,4.5,119.9,2.684,2.560,#REF!,#REF!,#REF!,4.9,1.9,2.6,718325
159,,,26,7,2.336,2.505,6.7,4.5,120.9,2.684,2.560,#REF!,#REF!,#REF!,5.6,1.9,2.6,718325
160,,,26,8,2.322,2.505,7.3,4.5,121.9,2.684,2.560,#REF!,#REF!,#REF!,6.0,1.9,2.6,718325
161,11/26/2021,Month 27,27,1,2.324,2.505,7.2,4.6,122.9,2.687,2.560,#REF!,#REF!,#REF!,5.9,1.9,2.7,747805
162,,,27,2,2.315,2.505,7.6,4.6,123.9,2.687,2.560,#REF!,#REF!,#REF!,6.1,1.9,2.7,747805
163,,,27,3,2.389,2.505,4.6,4.5,124.9,2.684,2.560,#REF!,#REF!,#REF!,3.7,1.9,2.6,747805
164,,,27,4,2.344,2.505,6.4,4.5,125.9,2.684,2.560,#REF!,#REF!,#REF!,5.1,1.9,2.6,747805
165,,,27,5,2.368,2.505,5.5,4.5,126.9,2.686,2.560,#REF!,#REF!,#REF!,4.3,1.9,2.6,747805
166,,,27,6,2.373,2.505,5.2,4.5,127.9,2.684,2.560,#REF!,#REF!,#REF!,4.1,1.9,2.6,747805
167,,,27,7,2.352,2.505,6.1,4.5,128.9,2.684,2.560,#REF!,#REF!,#REF!,4.7,1.9,2.6,747805
168,,,27,8,2.400,2.505,4.2,4.5,129.9,2.684,2.560,#REF!,#REF!,#REF!,3.2,1.9,2.6,747805
169,7/5/2022,Month 35,35,1,2.413,2.505,3.7,5.3,130.9,2.718,2.560,#REF!,#REF!,#REF!,2.8,2.4,2.9,988870
170,,,35,2,2.343,2.505,6.5,5.0,131.9,2.705,2.560,#REF!,#REF!,#REF!,4.9,2.2,2.8,988870
171,,,35,3,2.386,2.505,4.7,5.2,132.9,2.715,2.560,#REF!,#REF!,#REF!,3.6,2.3,2.9,988870
172,,,35,4,2.310,2.505,7.8,5.0,133.9,2.705,2.560,#REF!,#REF!,#REF!,5.8,2.2,2.8,988870
173,,,35,5,2.344,2.505,6.4,5.1,134.9,2.711,2.560,#REF!,#REF!,#REF!,4.8,2.3,2.8,988870
174,,,35,6,2.353,2.505,6.1,5.0,135.9,2.705,2.560,#REF!,#REF!,#REF!,4.5,2.2,2.8,988870
175,,,35,7,2.387,2.505,4.7,5.0,136.9,2.705,2.560,#REF!,#REF!,#REF!,3.4,2.2,2.8,988870
176,,,35,8,2.373,2.505,5.3,4.6,137.9,2.689,2.560,#REF!,#REF!,#REF!,3.8,2.0,2.7,988870
177,,,35,9,2.372,2.505,5.3,5,138.9,2.706,2.560,#REF!,#REF!,#REF!,3.8,2.2,2.8,988870
178,,,35,10,2.310,2.505,7.8,5,139.9,2.706,2.560,#REF!,#REF!,#REF!,5.6,2.2,2.8,988870
