S.No,Date,Time,Months,Sample,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Traffic
43,28-01-2020,Month 5,5,3,2.352,2.505,6.1,5.2,93.9,2.716,2.560,99.93,93.89,93.8,6.5,2.3,2.9,131189
44,28-01-2020,Month 5,5,4,2.306,2.505,7.9,5.2,92.1,2.716,2.560,99.91,92.05,92.0,8.6,2.3,2.9,131189
45,28-01-2020,Month 5,5,5,2.378,2.505,5.1,4.4,94.9,2.679,2.560,99.88,94.92,94.8,5.3,1.8,2.6,131189
46,28-01-2020,Month 5,5,6,2.393,2.505,4.5,4.4,95.5,2.679,2.560,99.86,95.52,95.4,4.7,1.8,2.6,131189
47,28-01-2020,Month 5,5,7,2.381,2.505,5.0,4.9,95,2.702,2.560,99.83,95.04,94.9,5.2,2.1,2.8,131189
48,28-01-2020,Month 5,5,8,2.38,2.505,5.0,4.9,95,2.702,2.560,99.81,95.00,94.8,5.3,2.1,2.8,131189
49,28-01-2020,Month 5,5,9,2.35,2.505,6.2,5.5,93.8,2.730,2.560,99.79,93.80,93.6,6.6,2.5,3.0,131189
50,28-01-2020,Month 5,5,10,2.372,2.505,5.3,5.5,94.7,2.730,2.560,99.76,94.68,94.5,5.6,2.5,3.0,131189
51,2/27/2020,Month 6,6,1,2.335,2.505,6.8,5.5,93.2,2.730,2.560,99.98,93.21,93.2,7.3,2.5,3.0,157811
52,2/27/2020,Month 6,6,2,2.335,2.505,6.8,5.5,93.2,2.730,2.560,99.95,93.21,93.2,7.3,2.5,3.0,157811
53,2/27/2020,Month 6,6,3,2.31,2.505,7.8,4.8,92.2,2.697,2.560,99.93,92.21,92.1,8.4,2.1,2.7,157811
54,2/27/2020,Month 6,6,4,2.332,2.505,6.9,4.8,93.1,2.697,2.560,99.91,93.09,93.0,7.4,2.1,2.7,157811
55,2/27/2020,Month 6,6,5,2.352,2.505,6.1,4.7,93.9,2.693,2.560,99.88,93.88,93.8,6.5,2.0,2.7,157811
56,2/27/2020,Month 6,6,6,2.345,2.505,6.4,4.7,93.6,2.693,2.560,99.86,93.60,93.5,6.8,2.0,2.7,157811
57,2/27/2020,Month 6,6,7,2.312,2.505,7.7,4.7,92.3,2.693,2.560,99.84,92.28,92.1,8.3,2.0,2.7,157811
58,2/27/2020,Month 6,6,8,2.338,2.505,6.7,4.7,93.3,2.693,2.560,99.81,93.32,93.1,7.1,2.0,2.7,157811
59,2/27/2020,Month 6,6,9,2.326,2.505,7.1,5,92.8,2.706,2.560,99.79,92.84,92.6,7.7,2.2,2.8,157811
60,2/27/2020,Month 6,6,10,2.351,2.505,6.1,5,93.9,2.706,2.560,99.76,93.84,93.6,6.5,2.2,2.8,157811
61,9/9/2020,Month 13,13,1,2.323,2.505,7.3,5,92.7,2.706,2.560,99.98,92.73,92.7,7.8,2.2,2.8,347830
62,9/9/2020,Month 13,13,2,2.329,2.505,7.0,5,93,2.706,2.560,99.95,92.97,92.9,7.6,2.2,2.8,347830
63,9/9/2020,Month 13,13,3,2.342,2.505,6.5,5.3,93.5,2.720,2.560,99.93,93.49,93.4,7.0,2.4,2.9,347830
64,9/9/2020,Month 13,13,4,2.335,2.505,6.8,5.3,93.2,2.720,2.560,99.91,93.21,93.1,7.3,2.4,2.9,347830
65,9/9/2020,Month 13,13,5,2.364,2.505,5.6,4.9,94.4,2.702,2.560,99.88,94.36,94.3,6.0,2.1,2.8,347830
66,9/9/2020,Month 13,13,6,2.385,2.505,4.8,4.9,95.2,2.702,2.560,99.86,95.20,95.1,5.0,2.1,2.8,347830
67,9/9/2020,Month 13,13,7,2.379,2.505,5.0,5,95,2.706,2.560,99.83,94.96,94.8,5.3,2.2,2.8,347830
68,9/9/2020,Month 13,13,8,2.351,2.505,6.1,5,93.9,2.706,2.560,99.81,93.84,93.7,6.5,2.2,2.8,347830
69,9/9/2020,Month 13,13,9,2.384,2.505,4.8,5,95.2,2.706,2.560,99.78,95.16,95.0,5.1,2.2,2.8,347830
70,9/9/2020,Month 13,13,10,2.365,2.505,5.6,5,94.4,2.706,2.560,99.76,94.40,94.2,5.9,2.2,2.8,347830
71,20-10-2020,Month 14,14,1,2.345,2.505,6.4,4.6,93.6,2.688,2.560,99.98,93.61,93.6,6.8,1.9,2.7,375507
72,20-10-2020,Month 14,14,2,2.349,2.505,6.2,4.6,93.8,2.688,2.560,99.95,93.77,93.7,6.6,1.9,2.7,375507
73,20-10-2020,Month 14,14,3,2.334,2.505,6.8,4.9,93.2,2.702,2.560,99.93,93.17,93.1,7.3,2.1,2.8,375507
74,20-10-2020,Month 14,14,4,2.326,2.505,7.1,4.9,92.9,2.702,2.560,99.91,92.85,92.8,7.7,2.1,2.8,375507
75,20-10-2020,Month 14,14,5,2.357,2.505,5.9,4.8,94.1,2.697,2.560,99.88,94.08,94.0,6.3,2.1,2.7,375507
76,20-10-2020,Month 14,14,6,2.364,2.505,5.6,4.8,94.4,2.697,2.560,99.86,94.36,94.2,6.0,2.1,2.7,375507
77,20-10-2020,Month 14,14,7,2.359,2.505,5.8,4.9,94.2,2.702,2.560,99.83,94.16,94.0,6.2,2.1,2.8,375507
78,20-10-2020,Month 14,14,8,2.353,2.505,6.1,4.9,93.9,2.702,2.560,99.81,93.92,93.7,6.5,2.1,2.8,375507
79,20-10-2020,Month 14,14,9,2.381,2.505,5.0,5,95,2.706,2.560,99.78,95.04,94.8,5.2,2.2,2.8,375507
80,20-10-2020,Month 14,14,10,2.366,2.505,5.5,5,94.5,2.706,2.560,99.76,94.44,94.2,5.9,2.2,2.8,375507
81,12/11/2020,Month 15,15,1,2.406,2.505,4.0,5,96.1,2.706,2.560,99.98,96.05,96.0,4.1,2.2,2.8,403318
82,12/11/2020,Month 15,15,2,2.358,2.505,5.9,5,94.1,2.706,2.560,99.95,94.13,94.1,6.2,2.2,2.8,403318
83,12/11/2020,Month 15,15,3,2.382,2.505,4.9,5.2,95.1,2.716,2.560,99.93,95.09,95.0,5.2,2.3,2.9,403318
84,12/11/2020,Month 15,15,4,2.322,2.505,7.3,5.2,92.7,2.716,2.560,99.91,92.69,92.6,7.9,2.3,2.9,403318
