S.No,Date,Time,,Sample,Pagg,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Film thickness,Traffic,,,,,,,S.No,Date,Time,Sample,Gmb,Gmm,"Air Voids,",Binder Content (%),Density
53,,,18,7,96.4,2.309,2.395,3.6,4.9,96.4,2.566,2.707,17.77,79.78,14.2,3.7,8.70,0.46049,,,,,,,52,,,6,,2.395,,4.9,
54,18-03-2021,Month 19,19,1,94.7,2.326,2.455,5.3,5.0,94.7,2.644,2.707,18.62,71.70,13.3,5.6,8.70,0.06468,,,,,,,,,,std,0.02,,0.81,0.02,0.81
55,,,19,2,94.7,2.324,2.455,5.3,5.0,94.7,2.644,2.707,18.75,71.48,13.4,5.7,8.70,0.12972,,,,,,,54,18-03-2021,Month 19,1,2.326,2.455,5.3,5.0,94.7
56,,,19,3,92.8,2.279,2.455,7.2,4.6,92.8,2.630,2.707,21.84,67.20,14.7,7.7,8.70,0.19513,,,,,,,55,,,2,2.324,2.455,5.3,5.0,94.7
57,,,19,4,93.7,2.300,2.455,6.3,4.6,93.7,2.630,2.707,20.38,69.09,14.1,6.7,8.70,0.26091,,,,,,,56,,,3,,2.455,,4.6,
58,,,19,5,94.9,2.330,2.455,5.1,5.2,94.9,2.655,2.707,18.29,72.23,13.2,5.4,8.70,0.32706,,,,,,,57,,,4,2.300,2.455,6.3,4.6,93.7
59,,,19,6,94.2,2.314,2.455,5.8,5.2,94.2,2.655,2.707,19.45,70.41,13.7,6.1,8.70,0.39359,,,,,,,58,,,5,2.330,2.455,5.1,5.2,94.9
60,,,19,7,94.0,2.308,2.455,6.0,4.9,94.0,2.640,2.707,19.82,69.87,13.8,6.4,8.70,0.46049,,,,,,,59,,,6,2.314,2.455,5.8,5.2,94.2
61,,,19,8,93.9,2.306,2.455,6.1,4.6,93.9,2.627,2.707,19.99,69.62,13.9,6.5,8.70,0.52777,,,,,,,60,,,7,2.308,2.455,6.0,4.9,94.0
62,7/10/2021,Month 23,23,1,97.5,2.336,2.395,2.5,4.8,97.5,2.564,2.707,15.81,84.50,13.4,2.5,8.70,0.06468,,,,,,,,,,std,0.01,,0.47,0.24,0.47
